Page,Section,Karl CMS / StreamField Block,Expected Data Fields,CMS Compliance,Notes / Deviations
findRecords,Related pages,related,Page* (repeatable),Native,"2 entries; merges with the section above into one flat list. Per-item title/text dropped."
findHotelRecords,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 3 (2 page-level + 1 section) against max 2. partnerAgencies present."
findHotelRecords,What this tool covers,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: 3rd entry against max 2. Already-absorbed loss: the section's karl note folds an audience-guidance callout into Text because things_to_know is Title + Text only with no nested callout."
findHotelRecords,Open the lookup tool,what_to_do -> Section,"section_title; section_specifics: Text + Button link (External URL -> sfdph.org)",Custom,"U1: section-level button outside any step. Content risk: buttonUrl is an SME placeholder - it targets the Residential Hotel Program context page, not the final xnet lookup. Confirm with HHVC before publication."
findHotelRecords,Related pages,related,Page* (repeatable),Native,"5 entries; per-item title/text dropped."
findViolations,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 3 against max 2. partnerAgencies present."
findViolations,What you can search,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: 3rd entry against max 2. 2 paragraphs fold into one Text field."
findViolations,Open the violation lookup,what_to_do -> Section,"section_title; section_specifics: Text + Button link (External URL -> xnet)",Custom,"U1: section-level button outside any step."
findViolations,Related pages,related,Page* (repeatable),Native,"3 entries; per-item title/text dropped."
payFee,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","cost: struct, max 1 item, radio (Free | Flat fee | Range | Minimum and up | None) required once present, Cost description rich text capped at 120 chars",Custom,"U6 NARROWED. CAP BREACH (cost): whatToKnow.cost is 128 characters against the 120-char Cost description cap - the only page in the corpus over it. things_to_know total 2 - within cap. partnerAgencies present."
payFee,What to do,what_to_do -> Section (x5),"section_title; section_specifics: Text + Button link + Callout",Custom,"CONTRADICTION: this section's karl note maps to a 'Transaction editor repeatable Steps field' with type/Title/Step description and Optional/Cost/Time/Transaction link sub-fields. The 2026-08-15 E1 capture of the Transaction form records no Steps panel - what_to_do -> Section is the only step-shaped slot. Reconcile the note against the field map before building. U2 x2: step callouts 'Annual fee and reinspection fees are different' and 'What the annual fee supports' carry titles with no Karl field."
payFee,Related pages,related,Page* (repeatable),Native,"4 entries; per-item title/text dropped."
publicRecords,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 3 against max 2. partnerAgencies present."
publicRecords,Before you request records,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: 3rd entry against max 2. 2 paragraphs + 3 bullets fold into one Text field."
publicRecords,Submit your request,what_to_do -> Section,"section_title; section_specifics: Text + Button link (External URL -> NextRequest)",Custom,"U1: section-level button outside any step."
publicRecords,Related pages,related,Page* (repeatable),Native,"2 entries; per-item title/text dropped."
insectsReport,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies, supporting_information + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH (worst in corpus): things_to_know total 4 (2 page-level + 2 section) against max 2. partnerAgencies present."
insectsReport,What to do,what_to_do -> Section (x3),"section_title; section_specifics: Text + Button link + Callout",Custom,"3 steps -> 3 Section blocks; primary 311 action first. U2: step callout 'Your report is confidential' carries a title with no Karl field."
insectsReport,Get help making your report,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: the section's own karl note reasons 'this page uses one, so it's within guidance' - that count is wrong. It ignores the 2 page-level whatToKnow.thingsToKnow entries and the sibling 'How your report is processed' entry, putting the page at 4 against a cap of 2. ORDERING: things_to_know renders above what_to_do on the real form, so this content moves earlier on the live page - the note flags this for Digital Services."
insectsReport,How your report is processed,things_to_know -> title_and_text,"Title; Text (rich text); Button link is NOT available inside things_to_know",Custom,"CAP BREACH: 4th entry against max 2. U1: section-level 'View Article 11' button - things_to_know is Title + Text only and offers no Button link block at all, so this button has no home even before the U1 section-level question. DEVIATION (no U-id): buttonStyle 'secondary' has no Karl field - Button link is radio + Link text + Screenreader label, with no style variant. Same ordering caveat as the section above."
insectsReport,While you wait: tips to help with the problem,supporting_information -> title_and_text ('Accordion item'),"Title (plain text); Text (rich text). One block type, no chooser.",Custom,"CONTRADICTION: the karl note specifies 'one Text block + a Resources-style external links list (UC IPM, CDC, EPA)'. supporting_information offers exactly one block type, title_and_text, with no chooser - there is no Resources block on Transaction (Resources lives on Campaign's additional_content and on Agency/About us). All 6 cards must become inline hyperlinks in the rich text and lose their text/description. DEVIATION: the mockup-only 'open' flag renders the accordion expanded; the real accordion renders collapsed."
insectsReport,Related pages,related,Page* (repeatable),Native,"4 entries, all internal SF.gov pages. related is a page chooser and cannot hold external links. Per-item title/text dropped."
filthReport,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies, supporting_information + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 4 against max 2. partnerAgencies present."
filthReport,What to do,what_to_do -> Section (x4),"section_title; section_specifics: Text + Button link + Callout",Custom,"4 steps -> 4 Section blocks. U2: step callout 'Your report is confidential' carries a title with no Karl field."
filthReport,Get help making your report,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: same miscount as insectsReport - the note's 'this page uses one' ignores 3 sibling entries; page total is 4 against a cap of 2. U2: section callout 'Mold from humidity or condensation' carries a title with no Karl field, and things_to_know has no nested callout at all, so it must fold into Text. ORDERING: renders above what_to_do on the real form."
filthReport,How your report is processed,things_to_know -> title_and_text,"Title; Text (rich text); no Button link block available",Custom,"CAP BREACH: 4th entry against max 2. U1: section-level 'View Article 11' button with no home inside things_to_know. DEVIATION: buttonStyle 'secondary' has no Karl field."
filthReport,While you wait: tips to help with the problem,supporting_information -> title_and_text ('Accordion item'),"Title; Text (rich text). One block type, no chooser.",Custom,"CONTRADICTION: karl note specifies a 'Resources-style external links list' (UC IPM, EPA, CDC, NEHA) that Transaction's supporting_information does not offer. All 4 cards become inline hyperlinks in the rich text and lose their text. DEVIATION: mockup-only 'open' flag; the real accordion renders collapsed."
filthReport,Related pages,related,Page* (repeatable),Native,"4 entries, all internal. Per-item title/text dropped."
rodentsReport,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies, supporting_information + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 4 against max 2. partnerAgencies present."
rodentsReport,What to do,what_to_do -> Section (x3),"section_title; section_specifics: Text + Button link + Callout",Custom,"3 steps -> 3 Section blocks. U2: step callout 'Your report is confidential' carries a title with no Karl field."
rodentsReport,Get help making your report,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: the note claims 'confirmed repeatable, no max' - the E3 Help Center cap is 2 and governs under the 2026-08-23 precedence reversal. Page total is 4. ORDERING: renders above what_to_do on the real form."
rodentsReport,How your report is processed,things_to_know -> title_and_text,"Title; Text (rich text); no Button link block available",Custom,"CAP BREACH: 4th entry against max 2. U1: section-level 'View Article 11' button with no home inside things_to_know. DEVIATION: buttonStyle 'secondary' has no Karl field."
rodentsReport,While you wait: tips to help with the problem,supporting_information -> title_and_text ('Accordion item'),"Title; Text (rich text). One block type, no chooser.",Custom,"CONTRADICTION: karl note specifies a 'Resources-style external links list' (CDC, UC IPM pest notes, NEHA) that Transaction's supporting_information does not offer. All 5 cards become inline hyperlinks and lose their text. DEVIATION: mockup-only 'open' flag; the real accordion renders collapsed."
rodentsReport,Related pages,related,Page* (repeatable),Native,"4 entries, all internal. Per-item title/text dropped."
sroHotelReport,(page-level fields),"title, description, primary_agency, cost, things_to_know + Promote tab","as above",Custom,"U6 NARROWED. CAP BREACH: things_to_know total 3 (2 page-level + 1 section) against max 2. No partnerAgencies."
sroHotelReport,What this covers,things_to_know -> title_and_text,"Title; Text (rich text)",Custom,"CAP BREACH: 3rd entry against max 2. 1 paragraph -> Text."
sroHotelReport,What to do,what_to_do -> Section (x2),"section_title; section_specifics: Text + Button link",Native,"2 steps -> 2 Section blocks, mirroring insectsReport's shape."
sroHotelReport,Related pages,related,Page* (repeatable),Native,"4 entries; per-item title/text dropped."
noticeOfViolation,(page-level fields),"title, description, primary_agency, cost, things_to_know, partner_agencies + Promote tab","as above",Custom,"U6 NARROWED. things_to_know total 2 - at cap exactly. partnerAgencies present. STRUCTURAL: this is the only page of the 14 with no Related section, so the related panel is empty."
noticeOfViolation,What to do,what_to_do -> Section (x5),"section_title; section_specifics: Text + Button link + Callout",Custom,"CONTRADICTION: the karl note maps to a 'Transaction editor repeatable Steps field, not an Information-section stream' with type/Title/Step description and Optional/Cost/Time/Transaction link sub-fields. The 2026-08-15 E1 capture of the Transaction form records no Steps panel - what_to_do -> Section is the only step-shaped slot. Same note as payFee; reconcile both against the field map."
tenantNoticeSteps,(page-level fields),"title, description, primary_agency, cost, things_to_know + Promote tab","as above",Custom,"U6 NARROWED. things_to_know total 2 - at cap exactly. No partnerAgencies."
tenantNoticeSteps,Prepare your unit,what_to_do -> Section (x3),"section_title; section_specifics chooser (7 block types)",Native,"3 steps -> 3 Section blocks."
tenantNoticeSteps,Know your rights during this process,what_to_do -> Section,"section_title; section_specifics: Text (rich text)",Custom,"CONTRADICTION: the karl note maps this to 'an Information section -> Title and text block'. information_section is an Information-type field and does not exist on Transaction. The nearest Transaction equivalent is a what_to_do Section with a Text block, or custom_section (title_and_text). Reuses noticeOfViolation's verified habitability statement rather than restating it."
tenantNoticeSteps,If nothing happens by the deadline,what_to_do -> Section,"section_title; section_specifics: Text (rich text)",Custom,"CONTRADICTION: karl note says 'a Title and text block' without naming a host panel; on Transaction that is custom_section or a what_to_do Section, not a generic block. Links forward to afterReport's enforcement chain per the design spec."
tenantNoticeSteps,Related pages,related,Page* (repeatable),Native,"3 entries; per-item title/text dropped."
